Ticker,Return_6month,Return_12month
AMAT,0.334763997,0.884443131
ADSK,0.038385156,0.429340228
BBY,0.149414242,0.433217255
CPB,-0.140814636,-0.146011831
STZ,0.065517928,0.51963184
CASY,0.125737496,0.041142873
CAG,0.096786173,-0.163822794
COO,0.199211738,0.357433687
DG,0.33916703,0.396731748
DCI,0.214834994,0.511335184
FDX,0.170343765,0.24015569
M,-0.063897885,0.078919963
GPS,0.359819545,0.426117533
GIS,-0.019388818,-0.197354552
HEI,0.263830375,0.877049176
HPQ,0.136195966,0.355537833
HD,0.281160031,0.349679264
HRL,-0.226441439,-0.872862255
KR,0.242428858,-0.010474464
LOW,0.322165913,0.391747442
MKC,-0.013338914,0.155239315
MDT,-0.010174857,0.094905062
MU,0.371419525,1.010312018
NKE,0.159315056,0.202965186
JWN,-0.079279781,-0.01044573
PVH,0.368644635,0.715580838
RPM,-0.031725032,-0.009057992
RAD,0.10844294,-0.587020544
ROST,0.383312308,0.128724529
SJM,0.004580218,-0.062149567
THO,0.004247663,0.347970026
TTC,-0.277327595,0.255164841
WMT,0.30330007,0.512263758
WSM,-2.74128351,-2.860915221
FL,-9.78E-05,-0.227062499
TJX,0.091418863,0.078826345
ORCL,-0.001896465,0.174999772
ADBE,0.269222489,0.747880451
TIF,0.100058854,0.320450618
WDAY,0.171493208,0.466792115
SIG,-0.054678359,-0.386580779
SPLS,0.197715467,0.313296163
CSCO,0.018361916,-0.00804979
AZO,-0.270089643,-0.125293517
SNPS,0.16378163,0.440116587
KSS,0.3508815,0.424458594
BBBY,-0.308033648,-0.295808202
PDCO,-0.133487209,-0.106194109
INTU,0.126476141,0.185093385
JBL,0.232764826,0.357779155
COST,-0.161178987,-0.086575428
URBN,0.646649393,0.175776866
CPRT,-0.415632861,0.255902408
DLTR,0.67665468,0.596683334
DRI,0.095287034,0.197844542
NTAP,0.331928572,0.440483016
MSM,-0.280869771,-0.017358393
FDS,-0.104749719,-0.112722185
MTN,0.263810987,0.481712582
KMX,-0.066925444,0.021480071
NVDA,0.516508816,1.205369206
BRCD,0.028301386,0.408341807
RHT,0.367764725,0.770895286
A,0.221082196,0.547230839
MON,0.026396192,0.049366729
GPN,0.062211592,0.223503266
GME,-0.191119005,-0.213294191
AYI,-0.165194974,-0.381904867
DKS,-0.163241555,-0.35736334
CRM,0.427486685,0.894332569
PANW,-0.117368093,-0.075627169
VMW,0.33460649,0.560911872
AVGO,0.165337538,0.452667639
