Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBY,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PAYX,PVH,RAD,RHT,RPM,SJM,SNPS,STZ,THO,TJX,TTC,VMW,WDAY,WMT,WSM
2012-10-12,25.5812645082,31.94,31.2,9.88583286229,30.3857096891,60.2979093473,373.05,15.1880153003,24.5000007196,49.3360368409,96.6749882127,83.3722323013,30.1019544016,13.36,38.3225,15.6759997101,30.8778102193,47.5481906071,45.2170762172,41.1096,40.3733166848,86.0144990585,87.4438213171,31.5346736096,33.4909620493,18.3638425506,21.4604068068,31.2582475059,53.5849938927,5.70440158613,13.0852227766,56.6673353971,15.780427996,45.4230087402,32.55,10.7858798556,42.4757453276,28.5283047675,33.6675422427,80.8381676653,65.1402547442,53.0309225207,5.67,22.1777883969,26.4260780789,11.7193729417,28.8906550517,62.96,27.4881415417,92.0794318554,1.16,53.69,23.1840352497,73.9226712738,32.1,34.1217970843,31.3897930952,40.2899620899,18.4742539359,87.3,48.69,66.5263290887,40.2958020384
2012-10-15,25.5537725528,32.33,31.9,9.94025029089,30.5803959702,60.3664630854,374.72,15.0332110673,24.9121338742,48.4613181303,97.4633978409,82.4833843096,30.2321531663,13.37,38.5375,15.7994998436,31.0979074707,47.6254262467,45.3157838652,40.52,40.2470340015,85.7470869152,87.6856460441,31.8971411223,33.5849657703,18.3719074792,21.4852855534,31.4141058037,54.5656460644,5.72815343174,13.1896140787,56.8759720939,15.8638242684,46.0597412494,32.99,10.8414056207,42.715301262,29.4615591249,34.0946869045,81.3949169288,65.6469715474,52.3054653043,5.72,22.4573008751,26.6635748055,11.8678368903,29.1702420361,65.55,27.6650495933,94.2734538975,1.15,54.33,23.6182927907,74.1264126086,32.18,34.6677458377,32.1214086945,40.788530381,18.6522964542,87.93,51.94,67.7022330721,40.8613571548
2012-10-16,26.055500739,33.24,32.68,10.1579200053,31.6491895624,61.345802201,370.69,15.1450141245,24.9033650836,47.4725056748,98.152008782,82.904646978,30.3797117663,13.395,38.865,16.0572318465,31.1804439399,48.5522539214,46.2310729651,40.5217,41.0418720669,86.1343734675,88.9141156578,32.6673845869,33.926797483,18.5090112664,21.6295822836,32.0029038177,54.7545790516,5.76773984108,13.3303153989,57.5193868506,16.3086043881,46.8287818124,33.21,11.3041203292,43.3265819221,29.5988024127,34.5730889257,82.5814317529,65.0226240578,52.4052156715,5.78,22.840162505,27.1933751956,12.2109741915,29.7014573064,65.57,27.7745641015,96.4178374318,1.17,54.66,24.2475231052,74.3301539435,32.8,34.8822257051,32.7485077796,40.5439497099,18.891248255,90.76,52.16,67.4916234034,41.6213218423
2012-10-17,26.1585955718,33.44,32.2,10.1216417196,31.4280598536,62.3958743232,369.47,15.1278136541,25.0085905699,46.8735135143,98.4214652372,82.7141429228,30.5446302016,13.6375,37.9075,15.9315172278,30.9695174074,46.5732837467,45.75548157,40.37,40.9304461699,85.8946246494,89.9104335334,32.7489397773,34.2429918172,18.5009463377,21.808709259,31.8557043142,55.231409924,5.82711945509,13.4574004623,57.6329306312,16.419799418,47.6805149092,33.55,11.5724948601,43.6239617027,30.0013827238,34.8891759754,81.8056335987,64.7059260559,53.3392418377,5.78,22.9176743687,27.3121235589,12.1183698035,29.1050050731,65.5,27.8588060308,97.291475168,1.18,52.21,24.4159086823,75.4728770824,32.785,35.9936213815,33.8546408882,40.4969149655,19.2098506561,87.29,55.41,67.5969282377,41.745037024
2012-10-18,25.1826311547,33.475,31.59,10.1488504339,31.3727774265,63.5637115431,370.39,15.0418113025,25.2190415424,47.101701004,97.2338608605,82.3295452341,30.7789879781,13.675,37.525,15.8463447219,31.0703953143,45.6559174378,46.4374616837,39.355,41.0121584943,85.2399259537,90.4327749439,32.8304949677,34.6104609083,18.9041927705,21.6693882781,32.1933972928,55.6002790895,5.85878858257,13.4574004623,57.3585331614,15.9935518033,47.2670522409,33.39,11.6604106547,44.293066209,29.8000925682,34.5645460325,82.1250798975,64.9773814861,53.1397411032,5.65,22.9176743687,27.6500996698,11.9327898678,28.9978300624,61.9,27.7661399085,97.5893062144,1.17,52.25,24.3450094919,75.6234685038,32.56,35.3891781189,33.5062525075,40.6662400455,19.4394317981,85.56,53.42,67.1844843033,42.3547761338
2012-10-19,24.5709351469,33.24,30.47,9.83141543369,30.5803959702,62.1799716439,369.0,14.8354056585,24.7806020163,46.8449900781,95.4674240985,81.0048198618,30.5706699546,13.585,37.2525,15.3652052361,30.7310787184,45.5400639784,46.0516045141,39.15,39.9870402418,83.9766341043,89.0979024504,32.5858293966,34.1746254747,18.6461150535,21.604703537,31.4920349526,55.6812503697,5.73211207267,13.1836906223,56.6015746242,15.9286880359,46.6633967451,33.3,11.6280206251,43.7230882962,29.8641394359,34.1630300504,80.9476921106,64.0544330233,52.6228528364,5.45,22.6546038009,27.3577960063,11.2322256104,28.4013778291,60.02,27.4207479983,96.0306570714,1.15,50.73,23.9284767485,75.0831110505,32.0,34.7554876016,33.1491544174,40.0265675211,19.383207845,83.65,55.25,66.3595964343,41.7892210175
2012-10-22,24.7427598682,33.49,30.95,9.84955457655,30.7738844653,62.3468055324,365.8,14.7064021311,24.7981395974,47.4059509903,95.1081488249,81.1928453985,30.388391684,13.48,36.9075,15.4928788224,30.5935179364,45.3276659696,45.9798171337,38.98,39.8607575585,84.8526394014,88.4885041381,31.9877580005,34.0293469968,18.7106344828,21.604703537,31.3102002718,55.8162025035,5.82316081416,13.1973761143,56.7151184048,15.9842855509,46.2830110903,33.15,11.729817861,43.2604975264,30.0745791439,34.1630300504,81.1119787785,64.1901607384,52.4777613932,5.44,22.1918814631,27.3121235589,11.1069591538,28.7042637288,60.0,27.4965657347,94.7202004671,1.15,51.06,23.8132655642,75.1805525585,32.0,34.6482476679,32.5743135893,39.3680810989,19.2473332916,83.36,55.4,66.3859226429,41.7096898293
2012-10-23,24.4059834144,33.31,31.37,9.79513714795,30.6264646595,61.3752434755,366.74,14.5085967223,24.657838949,47.0921931919,94.1999807721,81.346684474,30.1193142369,13.43,37.2,15.3395683118,29.9607383387,45.4821372487,45.6298536544,39.19,39.7047613027,84.843418293,88.7883667997,31.6252904878,33.738790041,18.6299851962,21.4156250629,30.7127434635,55.5552950449,5.64502197212,13.0605211944,56.3697560721,15.798960501,45.869548422,33.06,11.6233934781,42.715301262,29.6976125451,33.7102567089,79.3413335796,62.9686113023,51.9971459873,5.41,21.8019733002,26.2753590024,11.4410030381,28.5085528397,59.75,27.5976560499,93.8068519247,1.13,51.9,23.5473936003,75.4285854879,32.19,34.3850223761,32.9836699366,40.0547883677,19.612788987,83.72,54.38,65.6049117883,41.055766726
2012-10-24,24.6396650354,33.36,31.46,9.69537186219,30.1565640284,62.4351293558,364.36,14.5515978981,24.456156767,47.3869353661,95.6470617353,81.7227355474,30.0238351428,13.51,37.055,14.8029815246,29.3646416164,45.5883362531,45.5401194289,40.26,38.7613553746,84.7051016671,87.8597598477,31.1268976577,33.8242479692,18.775153912,21.2464495861,30.7473786408,55.132445026,5.55793187157,13.0468357024,56.3934110264,15.780427996,45.4478165003,32.67,11.5724948601,42.4261820308,29.6884182378,33.2147689012,78.9397439468,62.8509806159,52.0334188481,5.17,21.8184152107,25.7409913675,11.2925390895,28.5178724059,59.75,27.6060802428,93.1913344288,1.13,51.24,23.5119440051,75.322285661,32.34,34.1217970843,32.3043125943,39.4997783833,19.579991681,85.67,52.12,65.6575642055,40.7553155705
2012-10-25,24.8183627456,33.4,32.1,9.68630229075,31.0502966012,63.0926511519,367.78,13.0465567443,24.8332147595,48.4327946941,95.8765987157,82.5773970779,30.1627138251,13.67,36.3275,14.649671014,29.4655195232,45.6655718927,45.1722091045,40.05,39.1179182451,84.6497750168,88.1402765311,30.7825535206,34.1062591321,19.1300107729,21.3608918205,30.4529796339,54.4127003128,5.61731148558,13.3616020183,56.242019319,15.8823567734,45.5635860474,32.78,11.7344450081,42.6161746684,29.2287028733,33.0439110365,78.9397439468,64.072530052,52.1875785066,5.69,21.4472978026,25.6953189201,11.3018180863,28.7601811257,58.05,27.6397770145,92.3375520956,1.12,50.03,23.299246434,75.9689429412,32.28,34.9114729597,32.0517310184,38.8977336544,19.3738371861,86.36,49.24,66.0963343485,40.7997113391
